"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)"
"DELIVERED","406826346276_1","2022-08-01","Rajasthan","FIVESTAR Georgette Lehengha Choli with Inner Crep and Embroidered with 9mm Sequnce Work with Dupata","6326","Semi Stitched","1","1910.0","1910.0"
"CANCELLED","216649987717_1","2022-08-02","Andhra Pradesh","Beautiful pure lakhnovi long kurta embroidery cotton thread work,sequence work ,flair plazoo and duppata","Kb 201","XXL","1","1500.0","1500.0"
"DELIVERED","184970118893_1","2022-08-02","Karnataka"," PARTY WEAR BEAUTIFUL LOOK FANCY EMBROIDERY AND 5mm SEQUENCE WORK GOWN WITH DUPATTA ","hk 1446","Free Size","1","1561.0","1561.0"
"RTO_COMPLETE","916538974169_1","2022-08-02","Assam","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK)","1101 black","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","528661643961_1","2022-08-02","West Bengal","stlish dress","mk -6114","XL","1","750.0","750.0"
"RTO_COMPLETE","261363877240_1","2022-08-02","Uttar Pradesh","Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ","Ad 009 a","XXL","1","1500.0","1500.0"
"CANCELLED","125088357756_1","2022-08-02","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","223981111637_1","2022-08-03","Jharkhand","stylish shirt","546149913","XXL","1","500.0","500.0"
"CANCELLED","760155806750_1","2022-08-03","Telangana","Fancy three layer one piece","123","S","1","550.0","550.0"
"RTO_COMPLETE","183404359462_1","2022-08-03","Bihar","top & bottom set","akshar 1090","M","1","1368.0","1368.0"
"DELIVERED","322259568161_1","2022-08-03","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","173534645547_1","2022-08-04","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","493966375185_1","2022-08-04","Odisha"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","507255016644_1","2022-08-04","Telangana","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XXL","1","1300.0","1300.0"
"CANCELLED","180484790337_1","2022-08-04","West Bengal","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XXL","1","1300.0","1300.0"
"DELIVERED","354486173123_1","2022-08-04","Himachal Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","832025757463_1","2022-08-04","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","838020109948_1","2022-08-04","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","581588380617_1","2022-08-05","Uttar Pradesh","FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work","323","Free Size","1","1399.0","1399.0"
"DELIVERED","978604039408_1","2022-08-05","Haryana","FIVESTAR Designer Suit On Havy Gorgette febric with Thred and sequnce work and Pent on Gorgette febric and Dupatta on also Gorgette Febric with Thred and Sequnce work","1100","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","641914233092_1","2022-08-05","Uttar Pradesh","Designer Saree on premium Soft Net fabric with Sequnce work & Ruffle with Vayring and blouse on also soft net febric with inner (Blue)","Saree..1","Free Size","1","1444.0","1444.0"
"CANCELLED","938768197643_1","2022-08-06","West Bengal"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","765111140935_1","2022-08-06","West Bengal","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XXL","1","1300.0","1300.0"
"DELIVERED","673557263786_1","2022-08-06","Madhya Pradesh","Beautiful heavy embroidery sequence work top sharara with dupatta ","Dhk 1096","XL","1","2000.0","2000.0"
"DELIVERED","520950302337_1","2022-08-06","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"CANCELLED","426408564759_1","2022-08-06","Jammu & Kashmir","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK)","1101 black","Semi Stitched","1","1749.0","1749.0"
"CANCELLED","130383665484_1","2022-08-07","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","768837658082_1","2022-08-07","Madhya Pradesh","top & bottom set","akshar 1090","M","1","1368.0","1368.0"
